floor,total floor,years of house,Square footage,building present situation pattern - hall,Transfer building present situation pattern - compartmented,Transfer Management organization,School,0.257-11,Distance To Bay,parking space,logY
9,14,5,33.175175,2,1,1,0.546246659,2,0.978960677,1,3.574155075
9,13,18,22.980925,1,1,1,0.676633362,7,1.252851982,0,3.596330814
10,14,8,33.01485,2,1,1,0.546246659,2,0.978960677,1,3.603906691
17,21,0,25.721575,1,1,1,0.546246659,2,0.978960677,1,3.818045435
14,21,0,25.648975,1,1,1,0.546246659,2,0.978960677,1,3.82251694
17,21,0,24.541825,1,1,1,0.546246659,2,0.978960677,1,3.794967689
32,41,16,10.191225,0,1,1,0.928673668,6,0.108835403,0,3.887447655
5,15,0,29.502825,2,1,1,0.928673668,6,0.108835403,1,3.880595967
13,15,0,55.777975,2,1,1,0.928673668,6,0.108835403,0,3.802178003
7,15,0,49.927625,2,1,1,0.928673668,6,0.108835403,1,3.843018027
14,15,0,52.07235,2,1,1,0.928673668,6,0.108835403,1,3.620420356
16,22,16,8.228,0,1,1,0.928673668,6,0.108835403,0,3.739554546
5,12,20,12.6929,1,1,1,0.928673668,6,0.108835403,0,3.698634248
9,14,6,18.11975,1,1,1,0.833684897,1,0.724957857,0,3.679633834
13,26,18,38.8652,2,1,1,0.546246659,2,0.978960677,1,3.561638106
37,41,16,26.57765,1,1,0,0.928673668,6,0.108835403,0,3.781759019
16,22,14,32.122475,2,1,1,0.546246659,2,0.978960677,0,3.533620853
6,21,0,66.450175,2,1,1,0.546246659,2,0.978960677,1,3.706940738
3,4,38,42.0354,1,1,0,0.676633362,7,1.252851982,0,3.602346391
5,5,23,38.747225,2,1,0,0.400861834,1,0.814790194,0,3.452613786
1,5,25,32.255575,1,1,0,0.917816729,5,0.128913283,0,3.817458083
6,12,5,32.001475,1,1,1,0.676633362,7,1.252851982,1,3.78343411
2,4,35,19.139175,1,1,0,0.728000013,5,1.789017987,0,3.440412929
3,6,16,31.4479,2,1,1,0.240749696,2,1.610776374,0,3.426329365
4,4,37,30.55855,2,1,0,0.613304514,4,1.75584765,0,3.468477843
2,14,8,9.985525,1,1,1,0.426398957,7,1.213320507,0,3.72951392
3,21,0,56.17425,2,1,1,0.546246659,2,0.978960677,1,3.708361271
9,12,20,25.3374,2,1,0,0.546246659,2,0.978960677,0,3.700495443
15,23,1,94.84585,0,0,1,0.922336092,4,1.446636591,1,3.805908374
2,14,5,30.734,1,1,1,0.546246659,2,0.978960677,1,3.442328042
23,34,13,69.9622,3,1,1,0.928673668,6,0.108835403,0,3.641864498
6,9,17,30.54645,2,1,1,0.38661113,2,1.40665249,0,3.593358995
17,21,15,26.992075,2,1,1,0.928673668,6,0.108835403,1,3.711144744
15,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.790338686
6,12,5,19.28135,1,1,1,0.676633362,7,1.252851982,0,3.927680679
5,5,27,26.217675,2,1,1,0.294376947,3,1.493604856,0,3.450424466
13,23,17,26.804525,2,1,1,0.546246659,2,0.978960677,0,3.543171958
9,14,8,27.639425,2,1,1,0.546246659,2,0.978960677,1,3.697939799
1,3,38,20.1828,1,1,0,0.599771265,3,1.859587542,0,4.029718218
4,5,27,23.41955,2,1,0,0.928673668,6,0.108835403,0,3.388064084
9,15,4,43.7052,2,1,1,0.91597149,5,0.033539262,1,3.742065433
8,12,5,11.25905,1,1,1,0.676633362,7,1.252851982,0,3.881921064
5,5,33,26.441525,2,1,0,0.928673668,6,0.108835403,0,3.442193474
9,25,11,31.8714,2,1,1,0.928673668,6,0.108835403,1,3.879043097
11,22,17,7.456625,1,1,1,0.928673668,6,0.108835403,0,3.950501008
22,41,15,9.949225,1,1,1,0.928673668,6,0.108835403,0,3.789164664
10,16,19,13.899875,1,1,1,0.546246659,2,0.978960677,0,3.681486797
5,25,11,17.548025,1,1,1,0.928673668,6,0.108835403,0,4.023170217
3,12,5,19.7472,1,1,1,0.676633362,7,1.252851982,0,3.934443572
12,12,5,16.12325,0,0,1,0.676633362,7,1.252851982,0,3.861080728
2,5,33,51.183,2,1,0,0.423508008,8,0.037250126,0,2.864443864
3,5,30,28.677,2,1,0,0.699231757,2,1.127421334,0,3.530106252
8,13,14,14.420175,1,1,1,0.551919167,6,1.348752678,0,3.916743309
2,5,31,34.66045,1,1,0,0.301837992,1,1.999899957,0,3.396229317
11,21,0,49.268175,2,1,1,0.546246659,2,0.978960677,1,3.718152167
17,34,13,15.835875,1,1,1,0.928673668,6,0.108835403,0,3.782835885
5,15,4,32.05895,2,1,1,0.546246659,2,0.978960677,1,3.741807462
2,4,37,25.679225,2,1,0,0.676633362,7,1.252851982,0,3.470524051
15,21,0,54.628475,2,1,1,0.546246659,2,0.978960677,1,3.713510005
8,22,15,44.8789,2,1,1,0.546246659,2,0.978960677,1,3.414853235
6,12,5,21.583375,2,1,1,0.676633362,7,1.252851982,0,3.904969281
24,41,16,10.530025,1,1,1,0.928673668,6,0.108835403,0,3.384049895
11,21,13,41.983975,2,1,1,0.546246659,2,0.978960677,1,3.767645251
19,25,2,41.838775,2,1,1,0.928673668,6,0.108835403,1,3.816752932
16,19,14,22.230725,0,1,1,0.676633362,7,1.252851982,0,3.401165856
16,19,14,48.862825,0,1,1,0.676633362,7,1.252851982,1,2.860367118
15,23,1,116.967675,0,0,1,0.922336092,4,1.446636591,1,3.743621231
8,21,0,53.351925,2,1,0,0.546246659,2,0.978960677,1,3.674377446
6,21,0,24.541825,1,1,0,0.546246659,2,0.978960677,1,3.668159259
14,21,0,24.469225,1,1,0,0.546246659,2,0.978960677,1,3.768107125
16,21,0,54.676875,2,1,0,0.546246659,2,0.978960677,1,3.730348131
3,21,0,68.10485,2,1,0,0.546246659,2,0.978960677,1,3.774630501
3,21,0,67.70555,2,1,0,0.546246659,2,0.978960677,1,3.704444566
3,15,4,31.09095,1,1,1,0.91597149,5,0.033539262,1,3.768043298
12,12,5,19.290425,1,1,1,0.676633362,7,1.252851982,0,3.825176685
5,5,17,36.774925,4,1,1,0.439919644,2,1.659348436,0,3.395313039
16,41,16,14.48975,1,1,1,0.928673668,6,0.108835403,0,3.747350746
15,17,16,9.35935,0,1,1,0.928673668,6,0.108835403,0,3.976950133
18,23,1,93.439225,2,1,1,0.922336092,4,1.446636591,1,3.755096875
2,12,6,9.5106,0,1,1,0.546246659,2,0.978960677,0,3.821813374
11,25,11,50.617325,2,1,1,0.546246659,2,0.978960677,1,3.804393544
13,15,0,67.6632,2,1,1,0.928673668,6,0.108835403,1,3.761284525
4,5,33,24.684,2,1,0,0.423508008,8,0.037250126,0,3.70826178
8,26,18,43.611425,1,1,1,0.546246659,2,0.978960677,1,3.446232789
11,14,19,33.985875,2,1,1,0.301837992,1,1.999899957,0,3.582287584
