years of house,building present situation pattern - hall,building present situation pattern - health,Transfer building present situation pattern - compartmented,School,Distance To Bay,parking space,logY
0,0,0,0,1.084235003,0.156599033,1,3.66473001
0,0,0,0,1.084235003,0.156599033,1,3.57426888
0,0,0,0,1.084235003,0.156599033,0,3.758121843
0,0,0,0,1.084235003,0.156599033,1,3.623388947
0,0,0,0,1.084235003,0.156599033,1,3.645423264
0,0,0,0,1.084235003,0.156599033,0,3.760781586
40,2,1,1,0.696799532,0.83513498,0,3.472229181
41,2,1,1,0.636345463,1.051400096,0,3.409082425
0,0,0,0,1.084235003,0.156599033,0,3.760281815
0,0,0,0,1.084235003,0.156599033,0,3.74156426
0,0,0,0,1.084235003,0.156599033,1,3.790470647
0,0,0,0,1.084235003,0.156599033,0,3.747055057
0,0,0,0,1.084235003,0.156599033,1,3.631921654
0,0,0,0,1.084235003,0.156599033,1,3.628232929
0,0,0,0,1.084235003,0.156599033,0,3.746849912
0,0,0,0,1.084235003,0.156599033,1,3.658649925
0,0,0,0,1.084235003,0.156599033,1,3.611863684
0,0,0,0,1.084235003,0.156599033,1,3.613150513
0,0,0,0,1.084235003,0.156599033,1,3.572190672
0,0,0,0,1.084235003,0.156599033,1,3.658857565
0,0,0,0,1.084235003,0.156599033,1,3.635852734
0,0,0,0,1.084235003,0.156599033,1,3.649164222
0,0,0,0,1.084235003,0.156599033,1,3.461862365
0,0,0,0,1.084235003,0.156599033,1,3.490427003
0,0,0,0,1.084235003,0.156599033,0,3.761281141
18,1,1,1,0.987478052,0.089726226,0,3.756580283
0,0,0,0,1.084235003,0.156599033,0,3.753359063
0,0,0,0,1.084235003,0.156599033,0,3.74022404
18,1,1,1,0.987478052,0.089726226,0,3.721502671
18,2,2,1,0.987478052,0.089726226,1,3.521870705
0,0,0,0,1.084235003,0.156599033,1,3.62416172
0,0,0,0,1.084235003,0.156599033,1,3.61853293
0,0,0,0,1.084235003,0.156599033,1,3.668078824
0,0,0,0,1.084235003,0.156599033,1,3.641065427
0,0,0,0,1.084235003,0.156599033,1,3.657684355
0,0,0,0,1.084235003,0.156599033,1,3.649501189
0,0,0,0,1.084235003,0.156599033,0,3.730476198
0,0,0,0,1.084235003,0.156599033,0,3.757548204
0,0,0,0,1.084235003,0.156599033,1,3.558978722
0,0,0,0,1.084235003,0.156599033,0,3.739156726
0,0,0,0,1.084235003,0.156599033,1,3.64387435
0,0,0,0,1.084235003,0.156599033,0,3.73974413
0,0,0,0,1.084235003,0.156599033,1,3.600671184
0,0,0,0,1.084235003,0.156599033,1,3.637217186
0,0,0,0,1.084235003,0.156599033,1,3.547229792
0,0,0,0,1.084235003,0.156599033,1,3.593935121
0,0,0,0,1.084235003,0.156599033,1,3.595487749
0,0,0,0,1.084235003,0.156599033,0,3.754529957
0,0,0,0,1.084235003,0.156599033,0,3.727901031
0,0,0,0,1.084235003,0.156599033,0,3.737819549
0,0,0,0,1.084235003,0.156599033,1,3.670275071
0,0,0,0,1.084235003,0.156599033,1,3.671230755
0,0,0,0,1.084235003,0.156599033,1,3.640310782
0,0,0,0,1.084235003,0.156599033,1,3.66141968
0,0,0,0,1.084235003,0.156599033,0,3.74156426
0,0,0,0,1.084235003,0.156599033,0,3.737449857
0,0,0,0,1.084235003,0.156599033,1,3.677979499
34,2,1,1,0.558184725,1.213090022,0,3.486292182
0,0,0,0,1.084235003,0.156599033,1,3.606725608
0,0,0,0,1.084235003,0.156599033,0,3.742622763
0,0,0,0,1.084235003,0.156599033,1,3.611131287
0,0,0,0,1.084235003,0.156599033,0,3.73974413
0,0,0,0,1.084235003,0.156599033,1,3.653018531
18,1,1,1,0.987478052,0.089726226,0,3.711937042
38,2,2,1,0.696799532,0.83513498,0,3.829845566
0,0,0,0,1.084235003,0.156599033,1,3.612763462
0,0,0,0,1.084235003,0.156599033,1,3.592276496
0,0,0,0,1.084235003,0.156599033,0,3.737449857
34,1,1,1,0.584410218,1.225493016,0,3.347625195
0,0,0,0,1.084235003,0.156599033,1,3.517432614
0,0,0,0,1.084235003,0.156599033,1,3.686783258
0,0,0,0,1.084235003,0.156599033,1,3.686742063
0,0,0,0,1.084235003,0.156599033,1,3.68098263
0,0,0,0,1.084235003,0.156599033,1,3.642979499
0,0,0,0,1.084235003,0.156599033,1,3.644105373
0,0,0,0,1.084235003,0.156599033,1,3.681853878
36,0,4,1,0.621112655,1.090408411,0,3.65325025
41,3,2,1,0.64160638,1.056599725,0,3.456259397
46,1,1,1,0.936297966,0.735000051,0,3.445313718
18,2,2,1,0.987478052,0.089726226,0,3.606450356
0,0,0,0,1.084235003,0.156599033,1,3.588884253
0,0,0,0,1.084235003,0.156599033,1,3.64869803
0,0,0,0,1.084235003,0.156599033,1,3.652987031
0,0,0,0,1.084235003,0.156599033,0,3.735060684
0,0,0,0,1.084235003,0.156599033,1,3.671050537
0,0,0,0,1.084235003,0.156599033,1,3.577574223
0,0,0,0,1.084235003,0.156599033,1,3.570548817
0,0,0,0,1.084235003,0.156599033,1,3.63538799
0,1,1,1,0.464884517,0.004800267,1,3.742089695
0,1,2,1,0.464884517,0.004800267,1,3.895820129
0,1,2,1,0.464884517,0.004800267,1,3.796001315
0,1,1,1,0.464884517,0.004800267,1,3.667471656
0,1,2,1,0.464884517,0.004800267,1,3.741619049
0,1,2,1,0.464884517,0.004800267,1,3.916581965
0,1,2,1,0.464884517,0.004800267,1,3.815492134
0,1,1,1,0.464884517,0.004800267,1,3.661400724
0,1,1,1,0.464884517,0.004800267,1,3.654066619
0,1,1,1,0.464884517,0.004800267,1,3.571101625
0,0,0,0,1.084235003,0.156599033,1,3.58511102
0,0,0,0,1.084235003,0.156599033,1,3.638149318
0,0,0,0,1.084235003,0.156599033,1,3.612783782
0,0,0,0,1.084235003,0.156599033,1,3.59470472
0,0,0,0,1.084235003,0.156599033,1,3.556685829
0,0,0,0,1.084235003,0.156599033,1,3.651746337
0,0,0,0,1.084235003,0.156599033,1,3.616975494
0,0,0,0,1.084235003,0.156599033,1,3.632873152
0,0,0,0,1.084235003,0.156599033,1,3.573485417
0,0,0,0,1.084235003,0.156599033,1,3.654558172
0,0,0,0,1.084235003,0.156599033,1,3.57818
0,0,0,0,1.084235003,0.156599033,0,3.749614261
0,1,2,1,0.464884517,0.004800267,1,3.897006907
0,1,1,1,0.464884517,0.004800267,1,3.589593854
19,2,2,1,0.987478052,0.089726226,0,3.602700322
18,2,2,1,0.987478052,0.089726226,0,3.560361662
0,0,0,0,1.084235003,0.156599033,1,3.608930874
0,0,0,0,1.084235003,0.156599033,0,3.739156726
0,0,0,0,1.084235003,0.156599033,1,3.654480976
0,0,0,0,1.084235003,0.156599033,1,3.670329633
1,0,0,0,1.084235003,0.156599033,1,3.61566994
1,0,0,0,1.084235003,0.156599033,1,3.648370943
0,0,0,0,1.084235003,0.156599033,1,3.617027716
18,2,1,1,0.987478052,0.089726226,1,3.512939637
19,2,1,1,0.987478052,0.089726226,0,3.682218619
1,0,0,0,1.084235003,0.156599033,1,3.670973641
1,0,0,0,1.084235003,0.156599033,1,3.614849738
8,2,2,1,0.696799532,0.83513498,1,3.742975746
0,1,2,1,0.464884517,0.004800267,1,3.889865018
0,1,2,1,0.464884517,0.004800267,1,3.89383903
0,1,1,1,0.464884517,0.004800267,1,3.649147161
0,1,1,1,0.464884517,0.004800267,1,3.630620181
0,1,2,1,0.464884517,0.004800267,1,3.881066202
0,1,1,1,0.464884517,0.004800267,1,3.649286811
19,1,1,1,0.987478052,0.089726226,0,3.737212545
1,0,0,0,1.084235003,0.156599033,0,3.762251746
0,1,1,1,0.464884517,0.004800267,1,3.694343777
0,1,2,1,0.464884517,0.004800267,1,3.896611471
0,1,1,1,0.464884517,0.004800267,1,3.757142674
0,1,1,1,0.464884517,0.004800267,1,3.62305486
1,0,0,0,1.084235003,0.156599033,0,3.713982524
19,1,1,1,0.987478052,0.089726226,0,3.698890421
1,0,0,0,1.084235003,0.156599033,1,3.590709099
1,0,0,0,1.084235003,0.156599033,1,3.654614248
1,0,0,0,1.084235003,0.156599033,1,3.622007773
1,0,0,0,1.084235003,0.156599033,1,3.543332819
0,1,1,1,0.464884517,0.004800267,1,3.617839797
0,1,1,1,0.464884517,0.004800267,1,3.694343777
1,0,0,0,1.084235003,0.156599033,1,3.615010906
19,1,1,1,0.987478052,0.089726226,0,3.610649731
19,1,1,1,0.987478052,0.089726226,0,3.782306279
1,1,2,1,0.464884517,0.004800267,1,3.815063106
0,1,2,1,0.464884517,0.004800267,1,3.905667177
0,1,1,1,0.464884517,0.004800267,1,3.639997051
0,2,1,1,0.464884517,0.004800267,1,3.673505953
1,2,2,1,0.464884517,0.004800267,1,3.905667177
0,1,1,1,0.464884517,0.004800267,1,3.545305975
0,1,1,1,0.464884517,0.004800267,1,3.697425302
0,1,2,1,0.464884517,0.004800267,1,3.861595754
1,0,0,0,1.084235003,0.156599033,0,3.783806534
1,0,0,0,1.084235003,0.156599033,1,3.597757729
1,0,0,0,1.084235003,0.156599033,0,3.780016952
1,0,0,0,1.084235003,0.156599033,0,3.78196609
1,0,0,0,1.084235003,0.156599033,0,3.737716904
1,0,0,0,1.084235003,0.156599033,1,3.63314463
1,0,0,0,1.084235003,0.156599033,1,3.598008468
1,0,0,0,1.084235003,0.156599033,0,3.713755738
0,1,1,1,0.464884517,0.004800267,0,3.896959296
1,0,0,0,1.084235003,0.156599033,1,3.801079247
1,0,0,0,1.084235003,0.156599033,1,3.614477716
0,2,2,1,0.464884517,0.004800267,1,3.814204499
0,2,2,1,0.464884517,0.004800267,1,3.858724372
0,2,1,1,0.464884517,0.004800267,1,3.776464606
0,2,2,1,0.464884517,0.004800267,1,3.905667177
0,2,2,1,0.464884517,0.004800267,1,3.925075069
19,2,2,1,0.987478052,0.089726226,0,3.611462311
0,2,1,1,0.464884517,0.004800267,1,3.630480602
0,1,2,1,0.464884517,0.004800267,1,3.778351351
8,2,2,1,0.696799532,0.83513498,1,3.731558297
0,1,1,1,0.464884517,0.004800267,1,3.661400724
1,0,0,0,1.084235003,0.156599033,0,3.784066688
1,1,1,1,1.084235003,0.156599033,1,3.606653182
46,2,1,1,0.936297966,0.735000051,0,3.40289058
1,0,0,0,1.084235003,0.156599033,0,3.784073165
1,0,0,0,1.084235003,0.156599033,0,3.783978856
1,0,0,0,1.084235003,0.156599033,0,3.784213942
1,0,0,0,1.084235003,0.156599033,0,3.784265532
35,1,1,1,0.584410218,1.225493016,0,3.532038115
1,0,0,0,1.084235003,0.156599033,0,3.760957226
1,0,0,0,1.084235003,0.156599033,0,3.761573433
1,0,0,0,1.084235003,0.156599033,0,3.784204892
0,2,1,1,0.464884517,0.004800267,1,3.815492134
1,0,0,0,1.084235003,0.156599033,1,3.597627915
0,2,1,1,0.464884517,0.004800267,1,3.654066619
1,0,0,0,1.084235003,0.156599033,1,3.6877935
0,2,1,1,0.464884517,0.004800267,1,3.674708456
1,0,0,0,1.084235003,0.156599033,0,3.737831916
1,0,0,0,1.084235003,0.156599033,0,3.795322965
1,0,0,0,1.084235003,0.156599033,0,3.737760792
31,2,2,1,0.502712776,1.298911789,0,3.422504803
19,1,1,1,0.987478052,0.089726226,0,3.640180554
0,2,2,1,0.464884517,0.004800267,1,3.891058881
1,0,0,0,1.084235003,0.156599033,1,3.608206396
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,0,3.713688127
19,1,1,1,0.987478052,0.089726226,0,3.70690152
42,2,2,1,0.656148449,1.05396,0,3.282123356
0,2,2,1,0.464884517,0.004800267,1,3.780574708
0,2,2,1,0.464884517,0.004800267,1,3.789419031
0,1,2,1,0.464884517,0.004800267,1,3.885075264
28,2,2,1,0.54040597,1.236259361,0,3.558907175
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,1,3.612639999
1,0,0,0,1.084235003,0.156599033,0,3.721609131
1,0,0,0,1.084235003,0.156599033,0,3.663794943
1,0,0,0,1.084235003,0.156599033,1,3.474646263
1,0,0,0,1.084235003,0.156599033,0,3.663928778
35,0,4,1,0.558184725,1.213090022,0,3.635618157
0,2,2,1,0.464884517,0.004800267,1,3.817206406
1,0,0,0,1.084235003,0.156599033,0,3.663864771
1,0,0,0,1.084235003,0.156599033,0,3.663928778
1,0,0,0,1.084235003,0.156599033,0,3.664023437
1,1,1,1,1.084235003,0.156599033,1,3.5683258
37,3,3,1,0.696799532,0.83513498,0,3.822704679
1,0,0,0,1.084235003,0.156599033,1,3.65466657
1,0,0,0,1.084235003,0.156599033,1,3.640084191
1,0,0,0,1.084235003,0.156599033,1,3.655493779
1,0,0,0,1.084235003,0.156599033,1,3.625908325
1,0,0,0,1.084235003,0.156599033,1,3.65142663
1,0,0,0,1.084235003,0.156599033,1,3.611515316
20,2,2,1,0.987478052,0.089726226,0,3.412051769
2,0,0,0,1.084235003,0.156599033,1,3.578025198
2,1,1,1,1.084235003,0.156599033,0,3.689747252
2,0,0,0,1.084235003,0.156599033,0,3.679917176
2,0,0,0,1.084235003,0.156599033,0,3.645473794
2,0,0,0,1.084235003,0.156599033,1,3.531170568
2,0,0,0,1.084235003,0.156599033,1,3.621677317
2,0,0,0,1.084235003,0.156599033,0,3.644414862
2,0,0,0,1.084235003,0.156599033,1,3.523378162
2,0,0,0,1.084235003,0.156599033,0,3.634838459
2,0,0,0,1.084235003,0.156599033,1,3.526156308
2,0,0,0,1.084235003,0.156599033,1,3.496817916
2,0,0,0,1.084235003,0.156599033,1,3.564065273
20,1,1,1,0.987478052,0.089726226,0,3.756884158
47,2,1,1,0.883546176,0.81466666,0,3.293456205
20,1,1,1,0.987478052,0.089726226,0,3.737212545
